export_id,captured_at,source_type,source_label,scenario_id,scenario_title,status,alarm_count,alarm_codes,alarm_messages,parameter_outdoor_temp_c,parameter_airflow_m3_h,parameter_supply_temp_setpoint_c,parameter_heat_recovery_efficiency,parameter_heater_power_kw,parameter_filter_contamination,parameter_fan_speed_ratio,parameter_room_temp_c,parameter_room_heat_gain_kw,parameter_control_mode,state_actual_airflow_m3_h,state_mixed_air_temp_c,state_recovered_air_temp_c,state_supply_temp_c,state_room_temp_c,state_heating_power_kw,state_heater_load_ratio,state_fan_power_kw,state_total_power_kw,state_energy_intensity_kw_per_1000_m3_h,state_filter_pressure_drop_pa,state_heat_balance_kw,trend_minute,trend_outdoor_temp_c,trend_supply_temp_c,trend_room_temp_c,trend_heating_power_kw,trend_total_power_kw,trend_airflow_m3_h,trend_filter_pressure_drop_pa
pvu-export-20260404-204755,2026-04-04T17:47:55.440488+00:00,scenario,Загрязнение фильтра (dirty_filter),dirty_filter,Загрязнение фильтра,alarm,2,AIRFLOW_WARNING; FILTER_SERVICE_NOW,Расход воздуха ниже ожидаемого режима. | Фильтр требует немедленного обслуживания.,-12.0,3400.0,21.0,0.58,34.0,0.92,0.94,20.8,3.2,auto,2166.89,-12.0,7.02,21.0,20.77,10.15,0.3,0.91,11.06,5.1,388.06,-2.56,0,-12.0,21.0,20.8,10.15,11.06,2166.89,388.06
pvu-export-20260404-204755,2026-04-04T17:47:55.440488+00:00,scenario,Загрязнение фильтра (dirty_filter),dirty_filter,Загрязнение фильтра,alarm,2,AIRFLOW_WARNING; FILTER_SERVICE_NOW,Расход воздуха ниже ожидаемого режима. | Фильтр требует немедленного обслуживания.,-12.0,3400.0,21.0,0.58,34.0,0.92,0.94,20.8,3.2,auto,2166.89,-12.0,7.02,21.0,20.77,10.15,0.3,0.91,11.06,5.1,388.06,-2.56,10,-12.0,21.0,20.77,10.15,11.06,2166.89,388.06
pvu-export-20260404-204755,2026-04-04T17:47:55.440488+00:00,scenario,Загрязнение фильтра (dirty_filter),dirty_filter,Загрязнение фильтра,alarm,2,AIRFLOW_WARNING; FILTER_SERVICE_NOW,Расход воздуха ниже ожидаемого режима. | Фильтр требует немедленного обслуживания.,-12.0,3400.0,21.0,0.58,34.0,0.92,0.94,20.8,3.2,auto,2166.89,-12.0,7.02,21.0,20.77,10.15,0.3,0.91,11.06,5.1,388.06,-2.56,20,-12.0,21.0,20.74,10.16,11.07,2166.89,388.06
pvu-export-20260404-204755,2026-04-04T17:47:55.440488+00:00,scenario,Загрязнение фильтра (dirty_filter),dirty_filter,Загрязнение фильтра,alarm,2,AIRFLOW_WARNING; FILTER_SERVICE_NOW,Расход воздуха ниже ожидаемого режима. | Фильтр требует немедленного обслуживания.,-12.0,3400.0,21.0,0.58,34.0,0.92,0.94,20.8,3.2,auto,2166.89,-12.0,7.02,21.0,20.77,10.15,0.3,0.91,11.06,5.1,388.06,-2.56,30,-12.0,21.0,20.71,10.17,11.08,2166.89,388.06
pvu-export-20260404-204755,2026-04-04T17:47:55.440488+00:00,scenario,Загрязнение фильтра (dirty_filter),dirty_filter,Загрязнение фильтра,alarm,2,AIRFLOW_WARNING; FILTER_SERVICE_NOW,Расход воздуха ниже ожидаемого режима. | Фильтр требует немедленного обслуживания.,-12.0,3400.0,21.0,0.58,34.0,0.92,0.94,20.8,3.2,auto,2166.89,-12.0,7.02,21.0,20.77,10.15,0.3,0.91,11.06,5.1,388.06,-2.56,40,-12.0,21.0,20.68,10.18,11.1,2166.89,388.06
pvu-export-20260404-204755,2026-04-04T17:47:55.440488+00:00,scenario,Загрязнение фильтра (dirty_filter),dirty_filter,Загрязнение фильтра,alarm,2,AIRFLOW_WARNING; FILTER_SERVICE_NOW,Расход воздуха ниже ожидаемого режима. | Фильтр требует немедленного обслуживания.,-12.0,3400.0,21.0,0.58,34.0,0.92,0.94,20.8,3.2,auto,2166.89,-12.0,7.02,21.0,20.77,10.15,0.3,0.91,11.06,5.1,388.06,-2.56,50,-12.0,21.0,20.65,10.2,11.11,2166.89,388.06
pvu-export-20260404-204755,2026-04-04T17:47:55.440488+00:00,scenario,Загрязнение фильтра (dirty_filter),dirty_filter,Загрязнение фильтра,alarm,2,AIRFLOW_WARNING; FILTER_SERVICE_NOW,Расход воздуха ниже ожидаемого режима. | Фильтр требует немедленного обслуживания.,-12.0,3400.0,21.0,0.58,34.0,0.92,0.94,20.8,3.2,auto,2166.89,-12.0,7.02,21.0,20.77,10.15,0.3,0.91,11.06,5.1,388.06,-2.56,60,-12.0,21.0,20.62,10.21,11.12,2166.89,388.06
pvu-export-20260404-204755,2026-04-04T17:47:55.440488+00:00,scenario,Загрязнение фильтра (dirty_filter),dirty_filter,Загрязнение фильтра,alarm,2,AIRFLOW_WARNING; FILTER_SERVICE_NOW,Расход воздуха ниже ожидаемого режима. | Фильтр требует немедленного обслуживания.,-12.0,3400.0,21.0,0.58,34.0,0.92,0.94,20.8,3.2,auto,2166.89,-12.0,7.02,21.0,20.77,10.15,0.3,0.91,11.06,5.1,388.06,-2.56,70,-12.0,21.0,20.59,10.22,11.13,2166.89,388.06
pvu-export-20260404-204755,2026-04-04T17:47:55.440488+00:00,scenario,Загрязнение фильтра (dirty_filter),dirty_filter,Загрязнение фильтра,alarm,2,AIRFLOW_WARNING; FILTER_SERVICE_NOW,Расход воздуха ниже ожидаемого режима. | Фильтр требует немедленного обслуживания.,-12.0,3400.0,21.0,0.58,34.0,0.92,0.94,20.8,3.2,auto,2166.89,-12.0,7.02,21.0,20.77,10.15,0.3,0.91,11.06,5.1,388.06,-2.56,80,-12.0,21.0,20.56,10.23,11.15,2166.89,388.06
pvu-export-20260404-204755,2026-04-04T17:47:55.440488+00:00,scenario,Загрязнение фильтра (dirty_filter),dirty_filter,Загрязнение фильтра,alarm,2,AIRFLOW_WARNING; FILTER_SERVICE_NOW,Расход воздуха ниже ожидаемого режима. | Фильтр требует немедленного обслуживания.,-12.0,3400.0,21.0,0.58,34.0,0.92,0.94,20.8,3.2,auto,2166.89,-12.0,7.02,21.0,20.77,10.15,0.3,0.91,11.06,5.1,388.06,-2.56,90,-12.0,21.0,20.53,10.25,11.16,2166.89,388.06
