section,key,value
metadata,comparison_id,pvu-comparison-20260418-204616
metadata,generated_at,2026-04-18T17:46:16.139752+00:00
metadata,before_reference_id,archive:pvu-run-20260404-201509
metadata,before_label,Scenario Archive — Загрязнение фильтра (dirty_filter)
metadata,before_status,alarm
metadata,before_status_label,Авария
metadata,after_reference_id,active-run
metadata,after_label,Active Run — Пик нагрузки (peak_load)
metadata,after_status,normal
metadata,after_status_label,Норма
metadata,compatible,true
metadata,compatibility_status,normal

section,status,summary
compatibility,normal,"Совместимость подтверждена: шаг времени совпадает (10 мин), горизонт совпадает (120 мин), количество точек совпадает (13), временная сетка тренда совпадает, набор KPI и диагностических метрик совпадает."
compatibility_rule,rule,шаг времени совпадает (10 мин)
compatibility_rule,rule,горизонт совпадает (120 мин)
compatibility_rule,rule,количество точек совпадает (13)
compatibility_rule,rule,временная сетка тренда совпадает
compatibility_rule,rule,набор KPI и диагностических метрик совпадает

metric_id,title,unit,before_value,after_value,delta_value
supply_temp_c,Приточный воздух,°C,21.00,22.00,1.00
room_temp_c,Температура помещения,°C,20.77,23.56,2.79
actual_airflow_m3_h,Фактический расход,м³/ч,2166.89,5751.20,3584.31
heating_power_kw,Мощность нагревателя,кВт,10.15,27.45,17.30
fan_power_kw,Мощность вентилятора,кВт,0.91,11.78,10.87
total_power_kw,Суммарная мощность,кВт,11.06,39.23,28.17
filter_pressure_drop_pa,ΔP фильтра,Па,388.06,270.53,-117.53
energy_intensity_kw_per_1000_m3_h,Удельная мощность,кВт/1000 м³/ч,5.10,6.82,1.72
heat_balance_kw,Тепловой баланс,кВт,-2.56,5.44,8.00
mixed_air_temp_c,Смесительная камера,°C,-12.00,-8.00,4.00
recovered_air_temp_c,После рекуперации,°C,7.02,7.75,0.73
alarm_count,Количество тревог,шт,2.00,0.00,-2.00

minute,supply_temp_delta_c,room_temp_delta_c,total_power_delta_kw,airflow_delta_m3_h,filter_pressure_drop_delta_pa
0,1.00,2.70,28.17,3584.31,-117.53
10,1.00,2.79,28.17,3584.31,-117.53
20,1.00,2.88,28.10,3584.31,-117.53
30,1.00,2.97,28.04,3584.31,-117.53
40,1.00,3.06,27.96,3584.31,-117.53
50,1.00,3.15,27.89,3584.31,-117.53
60,1.00,3.24,27.82,3584.31,-117.53
70,1.00,3.33,27.76,3584.31,-117.53
80,1.00,3.41,27.68,3584.31,-117.53
90,1.00,3.49,27.62,3584.31,-117.53
100,1.00,3.57,27.56,3584.31,-117.53
110,1.00,3.65,27.49,3584.31,-117.53
120,1.00,3.73,27.43,3584.31,-117.53
