section,key,value
metadata,schema_version,scenario-report.v2
metadata,идентификатор_отчёта,pvu-report-20260502-151337
metadata,время_формирования,2026-05-02T12:13:37.118980+00:00
metadata,тип_источника,Сценарий
metadata,источник,Зима (winter)
metadata,идентификатор_сценария,winter
metadata,название_сценария,Зима
metadata,режим_управления,Авто
metadata,статус,Норма
metadata,количество_тревог,0
metadata,точки_тренда,13
metadata,горизонт_минут,120
metadata,шаг_минут,10

section,finding_id,title,severity,conclusion
findings,operating-status,Общий режим установки,Норма,Статус режима: Норма; активных тревог: 0.
findings,supply-gap,Отклонение притока от уставки,Норма,"Фактический приток 21.00 °C, уставка 21.00 °C, отклонение +0.00 °C."
findings,energy-balance,Энергетическая нагрузка,Норма,"Суммарная мощность 20.80 кВт, нагреватель 18.53 кВт, вентилятор 2.27 кВт."
findings,room-trend,Динамика помещения,Норма,Температура помещения изменилась на -0.48 °C за 120 мин при шаге 10 мин.

section,parameters,Параметры сценария
parameters,Параметр,Значение
parameters,"Наружная температура, °C",-22.00
parameters,"Расход воздуха, м³/ч",3600.00
parameters,"Уставка притока, °C",21.00
parameters,Эффективность рекуперации,0.62
parameters,"Мощность нагревателя, кВт",42.00
parameters,Загрязнение фильтра,0.22
parameters,Относительная скорость вентилятора,1.00
parameters,"Температура помещения, °C",20.50
parameters,"Теплопритоки помещения, кВт",3.50
parameters,"Объём помещения, м³",250.00
parameters,"Теплоёмкость помещения, кВт·ч/К",14.00
parameters,"Коэффициент теплопотерь, кВт/К",0.18
parameters,Режим управления,auto
parameters,"Горизонт моделирования, мин",120
parameters,"Шаг моделирования, мин",10

section,state,Итоговое состояние
state,Показатель,Значение
state,Метка времени,2026-05-02T12:13:37.118513Z
state,Режим управления,auto
state,"Фактический расход, м³/ч",3322.80
state,"Температура смеси, °C",-22.00
state,"Температура после рекуперации, °C",4.35
state,"Температура притока, °C",21.00
state,"Температура помещения, °C",20.46
state,"Нагрев, кВт",18.53
state,Доля нагрузки нагревателя,0.44
state,"Мощность вентилятора, кВт",2.27
state,"Суммарная мощность, кВт",20.80
state,"Удельная мощность, кВт/1000 м³/ч",6.26
state,"Перепад давления фильтра, Па",158.85
state,"Тепловой баланс, кВт",-3.59
state,Статус,Норма

section,status_legend,Легенда статусов
status_legend,Статус,Цвет,Правило
status_legend,Норма,#22c55e,"Приток в пределах 1.5 °C от уставки, расход выше 75% и ΔP фильтра ниже 280 Па."
status_legend,Риск,#facc15,"Отклонение притока от 1.5 до 3.0 °C, расход от 60% до 75% или ΔP фильтра от 280 до 360 Па."
status_legend,Авария,#ef4444,"Отклонение притока не меньше 3.0 °C, расход не выше 60% или ΔP фильтра не ниже 360 Па."

section,status_events,Статусные события
status_events,Код,Уровень,Сообщение
status_events,-,Норма,Активных статусных событий нет.

section,trend,Тренд по шагам
trend,Минута,"Наружная, °C","Приток, °C","Помещение, °C","Нагрев, кВт","Суммарная мощность, кВт","Расход, м³/ч","ΔP фильтра, Па"
trend,0,-22.00,21.00,20.50,18.53,20.80,3322.80,158.85
trend,10,-22.00,21.00,20.46,18.53,20.80,3322.80,158.85
trend,20,-22.00,21.00,20.42,18.56,20.83,3322.80,158.85
trend,30,-22.00,21.00,20.38,18.59,20.86,3322.80,158.85
trend,40,-22.00,21.00,20.34,18.62,20.89,3322.80,158.85
trend,50,-22.00,21.00,20.30,18.64,20.91,3322.80,158.85
trend,60,-22.00,21.00,20.26,18.67,20.94,3322.80,158.85
trend,70,-22.00,21.00,20.22,18.70,20.97,3322.80,158.85
trend,80,-22.00,21.00,20.18,18.73,21.00,3322.80,158.85
trend,90,-22.00,21.00,20.14,18.75,21.03,3322.80,158.85
trend,100,-22.00,21.00,20.10,18.78,21.05,3322.80,158.85
trend,110,-22.00,21.00,20.06,18.81,21.08,3322.80,158.85
trend,120,-22.00,21.00,20.02,18.84,21.11,3322.80,158.85
